Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100000,Data Engineer,Healthcare,Japan,PhD,1,0.25,0.78,Yes,207392,Low,3,37,Enterprise,High,2.08,Yes,3.86,Growing
AIJ-100001,Healthcare Analyst,Retail,UK,Bachelor,24,0.73,0.33,No,140785,Low,-5,42,Startup,Moderate,4.54,No,4.23,Growing
AIJ-100002,HR Specialist,Education,Canada,High School,21,0.8,0.69,Yes,124800,Medium,-5,57,Startup,Low,3.14,No,3.54,Stable
AIJ-100003,Cybersecurity Analyst,Government,UK,Bachelor,5,0.29,0.94,No,199878,Medium,7,59,Enterprise,High,3.67,No,4.37,Declining
AIJ-100004,Healthcare Analyst,Education,UAE,PhD,20,0.11,0.92,No,178682,Low,6,34,Startup,High,3.68,No,3.99,Stable
AIJ-100005,Machine Learning Engineer,Energy,Japan,High School,12,0.73,0.88,No,70066,High,19,46,Medium,High,4.58,Yes,3.72,Declining
AIJ-100006,UX Designer,Media,UK,High School,20,0.46,0.95,No,218659,High,22,49,Startup,Low,3.12,Yes,3.16,Growing
AIJ-100007,Digital Marketer,Technology,Germany,High School,2,0.15,0.49,Hybrid,110612,Medium,42,32,Enterprise,Low,2.39,No,4.79,Declining
AIJ-100008,Robotics Engineer,Energy,Pakistan,PhD,16,0.73,0.74,No,216895,Low,5,37,Startup,Moderate,2.06,Yes,3.35,Declining
AIJ-100009,Product Manager,Education,India,PhD,6,0.86,0.88,Hybrid,48574,Low,36,59,Enterprise,High,3.42,No,4.23,Declining
AIJ-100010,Cloud Architect,Technology,Australia,Master,25,0.43,0.57,Yes,44200,Low,2,36,Enterprise,Moderate,2.42,Yes,2.11,Declining
AIJ-100011,Cybersecurity Analyst,Education,UK,PhD,15,0.64,0.63,No,33868,Low,45,42,Startup,Low,3.14,No,2.06,Stable
AIJ-100012,AI Engineer,Manufacturing,USA,High School,18,0.25,0.25,No,172133,High,44,46,Startup,Low,4.88,Yes,4.41,Declining
AIJ-100013,Teacher,Technology,Japan,High School,13,0.9,0.65,Hybrid,181760,High,26,46,Medium,Moderate,2.61,No,1.95,Stable
AIJ-100014,Teacher,Government,Canada,High School,17,0.73,0.26,Yes,150136,High,6,34,Medium,Low,4.64,No,2.14,Stable
AIJ-100015,Cloud Architect,Healthcare,Singapore,Bachelor,8,0.14,0.89,No,99328,High,3,52,Medium,Low,4.06,No,3.02,Stable
AIJ-100016,UX Designer,Finance,UAE,PhD,17,0.09,0.46,Yes,64293,Low,-6,60,Enterprise,Low,3.64,No,3.33,Declining
AIJ-100017,Cloud Architect,Manufacturing,Singapore,PhD,19,0.86,0.37,Hybrid,95412,Low,5,57,Startup,Low,4.64,Yes,1.72,Stable
AIJ-100018,Digital Marketer,Education,UAE,Master,9,0.39,0.23,Yes,153388,Low,-9,51,Startup,Moderate,2.98,Yes,4.87,Stable
AIJ-100019,UX Designer,Technology,Canada,PhD,11,0.84,0.41,Hybrid,182198,Medium,17,49,Enterprise,Low,3.16,Yes,2.02,Growing
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356,Medium,15,52,Medium,High,2.38,No,3.66,Stable
AIJ-100021,Teacher,Manufacturing,UAE,PhD,14,0.31,0.54,Hybrid,182039,Low,22,45,Enterprise,Low,3.98,No,3.06,Growing
AIJ-100022,IoT Specialist,Government,Canada,PhD,13,0.23,0.22,Hybrid,94184,High,2,52,Enterprise,Moderate,3.48,Yes,1.59,Growing
AIJ-100023,Blockchain Developer,Technology,Singapore,Bachelor,3,0.21,0.96,No,165779,Low,41,44,Enterprise,High,4.96,No,4.8,Stable
AIJ-100024,UX Designer,Media,UAE,Bachelor,8,0.46,0.79,No,197159,Low,35,39,Startup,Moderate,3.01,Yes,1.55,Declining
AIJ-100025,DevOps Engineer,Energy,Japan,High School,24,0.54,0.53,Hybrid,84220,Medium,20,30,Medium,Moderate,4.26,No,3.15,Growing
AIJ-100026,Prompt Engineer,Finance,UAE,Bachelor,19,0.49,0.51,Hybrid,205341,Low,15,48,Enterprise,High,2.08,No,1.54,Stable
AIJ-100027,UX Designer,Energy,India,High School,15,0.24,0.46,Yes,129385,High,24,31,Medium,Low,3.95,Yes,4.02,Declining
AIJ-100028,Blockchain Developer,Retail,Pakistan,Bachelor,19,0.48,0.29,Hybrid,87138,High,35,33,Startup,Moderate,2.32,Yes,4.72,Growing
AIJ-100029,Teacher,Healthcare,Japan,High School,11,0.27,0.75,Hybrid,109058,Medium,32,41,Startup,High,3.94,Yes,4.4,Stable
AIJ-100030,UX Designer,Government,Singapore,PhD,14,0.69,0.54,No,166772,High,27,38,Medium,Low,4.49,Yes,2.12,Stable
AIJ-100031,Business Analyst,Manufacturing,India,Master,8,0.49,0.46,Hybrid,157808,High,7,47,Startup,High,4.84,Yes,1.97,Stable
AIJ-100032,Digital Marketer,Energy,Germany,Master,21,0.45,0.21,Hybrid,107132,Medium,20,47,Enterprise,Moderate,3.28,No,2.41,Stable
AIJ-100033,Machine Learning Engineer,Education,Germany,PhD,8,0.22,0.29,Hybrid,170473,High,38,46,Enterprise,Moderate,4.94,Yes,2.18,Stable
AIJ-100034,Software Developer,Transportation,Canada,High School,18,0.09,0.24,No,106581,Medium,20,44,Medium,Low,4.9,No,4.76,Stable
AIJ-100035,Software Developer,Finance,Japan,Master,2,0.12,0.7,Yes,44053,Low,25,54,Medium,High,3.79,Yes,4.1,Stable
AIJ-100036,Business Analyst,Education,India,High School,5,0.1,0.96,Yes,56013,Low,25,32,Startup,Low,3.23,No,2.17,Declining
AIJ-100037,HR Specialist,Education,Australia,High School,17,0.88,0.82,Yes,193855,High,-1,59,Medium,Low,2.21,Yes,4.17,Growing
AIJ-100038,Data Engineer,Transportation,UAE,High School,19,0.68,0.94,Yes,161195,Medium,37,40,Enterprise,Moderate,2.08,Yes,4.85,Growing
AIJ-100039,Machine Learning Engineer,Government,Australia,PhD,2,0.47,0.71,No,102917,Medium,16,40,Medium,High,2.31,Yes,2.32,Growing
AIJ-100040,Product Manager,Technology,Singapore,PhD,13,0.28,0.29,Yes,135952,Low,23,41,Enterprise,Moderate,3.88,Yes,1.81,Growing
AIJ-100041,Machine Learning Engineer,Retail,Singapore,High School,17,0.08,0.7,No,92730,Low,4,56,Startup,Moderate,4.84,Yes,2.99,Growing
